Year,Savanna fires,Forest fires,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure left on Pasture,Fires in organic soils,Fires in humid tropical forests,TemperatureDeviation
2000,0.9047614205583361,-1.0962788988635361,-0.14282840211455164,-0.44884003871620753,-0.37181057902326176,-0.5090476885059051,-0.5228348339850565,-0.8097102335442815,-0.42119952133469046,-0.88364131390532,-0.0402975964055468,-0.843535132714774,-0.6628967925580195,-0.6348810221826382,-0.4760883597181352,-1.0780039114733029,-2.026979427976182,0.42
2001,1.0668213072567498,-2.371377546374121,-0.8345965326444333,-0.44352684030847606,-0.16023132865630638,-0.44019632388226265,-0.4131300718926581,-0.640477328747648,-0.25481296290671474,-0.7468190932847464,0.08890080781997077,-0.7397272845765528,-0.5385319377545548,-0.5780784368818356,-0.3967403950464421,-1.075884435127537,-2.2912787436742583,0.55
2002,1.7670446172396286,-1.451077073808352,-1.3355933601511336,-0.37075869102249315,-0.04440883999158045,-0.3503427297989907,-0.4299031537440756,-0.50666977203588,-0.7345743369253491,-0.7578557149944488,-0.02135191585340951,-0.5974000374929366,-0.22125449832143493,-0.4545295135555634,-0.2244072519394043,1.12426643861718,-1.1745133945432942,0.63
2003,-0.1935582682307609,0.15814932804301257,-1.7208561197213432,-0.2926668281838616,0.21793989363190694,-0.16409876936561268,-0.2281029820201784,-0.36068737167713644,-0.43124168585187084,-0.4139857355566195,0.15819114256534605,-0.6077282308593716,0.06554279592801046,-0.2842126907294756,-0.03719194579832117,-0.49616382565472533,0.2590730181450802,0.62
2004,0.7927377724351284,0.43524527409849667,-0.6619261868988033,-0.18453351345162525,0.902877786517324,0.066599905702745,-0.06110320515072103,-0.19683151304226565,-0.16683477040257888,0.054447938646384225,0.2128294417426931,-0.01825619208580967,0.1273974777673897,-0.05325404518897861,0.19727706824090632,1.1034187187435622,0.7720231525814367,0.55
2005,-0.003980180778167532,0.17456659687449327,0.22573330690130097,0.01423926553656017,1.0079135179360523,0.17994160441290824,0.11365246090637574,-0.20371882328486823,-0.1824632603938803,0.292682339139387,0.3204518968663462,0.23323835779573232,0.10660727614586551,0.15077133108943627,0.4163972939811534,-0.14219704103681483,0.7142407549626302,0.69
2006,0.25726146424609164,-0.23869106585885877,0.2958087450211864,0.2356916056220542,0.9945622727038597,0.3598650564663673,0.3077480606849151,-0.02668036865800379,0.17943222940221262,0.39066127995878075,0.45988903479924426,0.5506809622401305,0.3144450664394291,0.3912465379771491,0.5067763681801609,1.5676089421241204,0.05084753901613012,0.63
2007,0.8905551430290113,0.6345909399101799,-0.14908405814006767,0.49142086876346414,0.5576515144502774,0.4389930728279523,0.5621485878629353,0.1999663626546784,0.2677002530683692,0.7214744762022497,0.6214525660006555,0.9128256605797189,0.4117404901399404,0.5595063257762704,0.6546649681598888,-0.9983546118793413,1.0045168825208222,0.66
2008,-0.4599264222391922,-0.2626625265212965,0.8569560499909967,0.660108428653665,0.6948444670323267,0.5449051097314652,0.605839605770433,0.3954096119513429,0.35759230335822845,0.8393315055651915,0.7682847706689153,1.1973860864771966,0.3326452491691463,0.5881326049766084,0.811127266279227,-1.0824403911583809,-0.25622228328360747,0.54
2009,-1.2005347527161072,-0.4235610397374065,0.7012638545900692,0.7858410415713781,0.22995428269997745,0.5508823669155429,0.6961600836496739,0.5400565771996606,0.6586183132515526,0.8422480841505678,0.8445689676309852,1.1532541892967683,0.57577194424206,0.6393359233924856,0.8895758860240983,0.6918561989087278,-0.4930828804623153,0.64
2010,-0.5282720564547925,1.1787525170841073,1.2649639705581863,1.019710553550494,0.8353216655481137,0.7873883438750351,0.8449899898594786,0.7919361520360335,0.8118012972378872,1.1674696954758577,0.9365173275820023,1.271671179043133,0.870049835122879,0.8840416141125238,0.909022916891958,-1.058203511619283,1.5507478187934014,0.71
2011,2.2489684165700785,-0.5347771544887856,1.4290631863024659,1.2197665807950322,1.1372277206836017,0.9857721567789227,1.0651980336660298,1.0522755653059876,1.0239289432202021,1.3734075585224792,1.1029633456056778,1.4615711781231633,1.0480336263025491,1.1139972079997205,0.9195686256266827,-0.2936694158431376,-0.22661107375199974,0.6
2012,1.9640610179700024,-0.08149001708287598,1.100595066210786,1.3764869585764294,1.2625073695113624,1.1180007259290137,1.2040434943771505,1.3353246045066227,1.286865398589422,1.2975522048310182,1.1907375108487608,1.4850533778012134,1.0453221581136833,1.265354880619449,1.0919885294068383,-0.25617894680370434,-0.07140907913412547,0.63
2013,-1.5608437631318708,-0.7801353379472082,1.5599126338197158,1.4288388065273696,1.0210490336775875,1.5156168291628576,1.4399081372689695,1.5996600707052488,1.4064211027920206,1.2974202973335436,1.2227201210673935,1.4571251433415304,1.4919935449762114,1.4987395524445186,1.1942547718932337,-0.3687076425035978,-0.6916362352148626,0.65
2014,-0.9238375801789239,-0.6548095454720197,1.2499776900554511,1.55510513398493,1.0890874652895421,1.6735656285602205,1.505348552985565,1.7532021277636716,1.4402296155134178,1.5208442951620003,1.120650178201492,1.0472214890641565,1.872211214100285,1.6900952378263256,1.2872585677953274,1.1787741220308128,-0.5542295517854728,0.74
2015,-0.8903680528919972,-0.01729925300889718,1.2270701360900433,1.5497975812085778,0.9503812776444001,1.7409026631320788,1.6154477597733936,1.8983403636331624,1.4055160730446428,1.4410183181075034,1.1177615481511405,0.8975530045763822,1.7214643080904881,1.6114492495405188,1.4874190654658788,1.3199466058146787,0.37747166842481295,0.87
2016,-1.6890404834105606,0.034250468114839214,1.3408973241106874,1.6649103400676675,0.9754463759165469,1.8135710398065787,1.9064789908734636,2.0583954689281367,1.628823626295314,1.2808211996587884,1.176871813271005,0.9445985985496623,1.6721845178143118,1.702334142494851,1.707176002036631,-0.9318856536100986,0.26628530198612604,0.99
